address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
225 Celebration Pl #526,Kissimmee,FL,34747,149999,2,2,1067,1242,townhouse,S5143564,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-526/home/46508159,celebration,21804-city
225 Celebration Pl #216,Kissimmee,FL,34747,155000,2,2,1269,1479,townhouse,S5148057,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-216/home/46507742,celebration,21804-city
225 Celebration Pl #527,Kissimmee,FL,34747,185000,2,2,1206,1408,townhouse,O6400670,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-527/home/46508158,celebration,21804-city
225 Celebration Pl #316,Kissimmee,FL,34747,188000,2,2,1265,1408,townhouse,O6279113,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-316/home/46508364,celebration,21804-city
225 Celebration Pl #446,Kissimmee,FL,34747,199950,2,2,1067,1408,townhouse,O6382270,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-446/home/46508196,celebration,21804-city
225 Celebration Pl #117,Kissimmee,FL,34747,210000,2,2,1265,1355,townhouse,S5114395,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-117/home/46507847,celebration,21804-city
225 Celebration Pl #427,Kissimmee,FL,34747,214887,2,2,1206,1219,townhouse,O6236996,https://www.redfin.com/FL/Kissimmee/225-Celebration-Pl-34747/unit-427/home/46508246,celebration,21804-city
1020 Siena Park Blvd W #103,Celebration,FL,34747,220000,1,1,792,841,townhouse,O6400406,https://www.redfin.com/FL/Celebration/1020-Siena-Park-Blvd-W-34747/unit-103/home/46490926,celebration,21804-city
770 Siena Palm Dr #203,Celebration,FL,34747,230000,1,1,792,515,townhouse,O6364377,https://www.redfin.com/FL/Celebration/770-Siena-Palm-Dr-34747/unit-203/home/46490989,celebration,21804-city
611 Campus St #280,Celebration,FL,34747,237500,1,1,773,543,townhouse,S5151490,https://www.redfin.com/FL/Celebration/611-Campus-St-34747/unit-280/home/46486969,celebration,34747|21804-city
