address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
Homes Available Soon Plan,Kissimmee,FL,34759,,,,,,single_family,4F2CF871FB5D,https://www.redfin.com/FL/Kissimmee/Kissimmee/Homes-Available-Soon/home/202180649,kissimmee,34758
3726 Sepia St,Kissimmee,FL,34758,20000,3,2,1407,,condo,24401094,https://www.redfin.com/FL/Kissimmee/3726-Sepia-St-34758/home/194088751,kissimmee,34758
Neptune Rd,Kissimmee,FL,34744,20000,,,,,8,O6240586,https://www.redfin.com/FL/Kissimmee/Neptune-Rd-34744/home/162409808,kissimmee,34769
2050 E Irlo Bronson Memorial Hwy #108,Kissimmee,FL,34744,33000,1,1,324,500,townhouse,O6366840,https://www.redfin.com/FL/Kissimmee/2050-E-Irlo-Bronson-Memorial-Hwy-34744/unit-108/home/46487498,kissimmee,34744
565 Imperial Pl,Kissimmee,FL,34758,37900,,,,35,8,S5155148,https://www.redfin.com/FL/Kissimmee/565-Imperial-Pl-34758/home/162378199,kissimmee,34758
0 Banbridge Dr,Kissimmee,FL,34758,38000,,,,85,7,B26019751,https://www.redfin.com/FL/Kissimmee/Banbridge-Dr-34758/home/162377668,kissimmee,34758
Cannock Dr,Kissimmee,FL,34758,38999,,,,83,8,O6399750,https://www.redfin.com/FL/Kissimmee/Cannock-Dr-34758/home/162377540,kissimmee,34758
364 Bowfin Dr,Kissimmee,FL,34759,39500,,,,35,8,C7527018,https://www.redfin.com/FL/Kissimmee/364-Bowfin-Dr-34759/home/202161449,kissimmee,34759
Maricopa Dr,Kissimmee,FL,34758,39900,,,,27,8,S5130912,https://www.redfin.com/FL/Kissimmee/Maricopa-Dr-34758/home/162476463,kissimmee,34758
0 Milan Dr,Kissimmee,FL,34758,43000,,,,85,8,S5104415,https://www.redfin.com/FL/Kissimmee/Milan-Dr-34758/home/54698318,kissimmee,34758
0 Heraldo Ct,Kissimmee,FL,34758,43000,,,,85,8,S5104422,https://www.redfin.com/FL/Kissimmee/Unknown-34758/home/162592039,kissimmee,34758
