address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
Homes Available Soon Plan,Saint Cloud,FL,34769,,,,,,single_family,8B3963CDC225,https://www.redfin.com/FL/Saint-Cloud/Saint-Cloud/Homes-Available-Soon/for-sale/203515741,poinciana,34769
Sr-60,Lake Wales,FL,33898,1450,,,,,8,O6313669,https://www.redfin.com/FL/Lake-Wales/State-Road-60-33898/home/162503727,poinciana,33898
60 E St,Lake Wales,FL,33898,1450,,,,,8,O6313673,https://www.redfin.com/FL/Lake-Wales/60-E-St-33853/home/163183016,poinciana,33898
Sr-60,Lake Wales,FL,33898,1450,,,,,8,O6313678,https://www.redfin.com/FL/Lake-Wales/State-Road-60-33898/home/163183103,poinciana,33898
Sr-60,Lake Wales,FL,33898,1450,,,,,8,O6313676,https://www.redfin.com/FL/Lake-Wales/State-Road-60-33898/home/163265080,poinciana,33898
7053 Flora Way,Lake Wales,FL,33898,5000,2,2,1159,,single_family,327059,https://www.redfin.com/FL/Lake-Wales/7053-Flora-Way-33898/for-sale/46256801,poinciana,33898
31-31-08-000000-014100,Frostproof,FL,33843,5000,,,,,8,O6432234,https://www.redfin.com/FL/Frostproof/Unknown-33843/home/163190998,poinciana,33898
Kicco Rd,Frostproof,FL,33843,8000,,,,,8,O6419254,https://www.redfin.com/FL/Frostproof/Kicco-Rd-33843/home/162513418,poinciana,33898
Hwy 60,Lake Wales,FL,33898,8950,,,,,8,A4702114,https://www.redfin.com/FL/Lake-Wales/Unknown-33898/home/162510703,poinciana,33898
0 Holopaw Groves Rd,Saint Cloud,FL,34772,9500,,,,,8,F10545908,https://www.redfin.com/FL/Saint-Cloud/Holopaw-Groves-Rd-34772/home/162617870,poinciana,34772
0 Holopaw Groves Rd,Saint Cloud,FL,34772,9500,,,,,8,F10545220,https://www.redfin.com/FL/Saint-Cloud/Holopaw-Groves-Rd-34772/home/162352315,poinciana,34772
0 Holopaw Groves Rd,Saint Cloud,FL,34772,9500,,,,,8,F10546488,https://www.redfin.com/FL/Saint-Cloud/Holopaw-Groves-Rd-34772/home/162351835,poinciana,34772
0 Holopaw Groves Rd,Saint Cloud,FL,34772,9500,,,,,8,F10545184,https://www.redfin.com/FL/Saint-Cloud/Holopaw-Groves-Rd-34772/home/162426850,poinciana,34772
